restaurant_name,category,address,road_address,search_keyword
두리부대찌개,"한식>찌개,전골",경기도 성남시 분당구 야탑동 289-2,경기도 성남시 분당구 장미로122번길 2,국물
대세신당동즉석쌀떡볶이&amp;양푼이매운갈비찜국물닭발,분식>떡볶이,경기도 성남시 분당구 정자동 135-3,경기도 성남시 분당구 불정로77번길 14,국물
라면국물편의점포차 서현역점,음식점>술집>포장마차,경기도 성남시 분당구 서현동 245-2,경기도 성남시 분당구 서현로210번길 1,국물
MAMA 국물떡볶이&amp;새우강정,분식>떡볶이,경기도 성남시 분당구 서현동 297,경기도 성남시 분당구 돌마로486번길 12,국물
매운국물갈비찜,음식점>한식,경기도 성남시 분당구 정자동 133-4,경기도 성남시 분당구 내정로11번길 5,국물
두리부대찌개,"한식>찌개,전골",경기도 성남시 분당구 야탑동 289-2,경기도 성남시 분당구 장미로122번길 2,국물
대세신당동즉석쌀떡볶이&amp;양푼이매운갈비찜국물닭발,분식>떡볶이,경기도 성남시 분당구 정자동 135-3,경기도 성남시 분당구 불정로77번길 14,국물
라면국물편의점포차 서현역점,음식점>술집>포장마차,경기도 성남시 분당구 서현동 245-2,경기도 성남시 분당구 서현로210번길 1,국물
MAMA 국물떡볶이&amp;새우강정,분식>떡볶이,경기도 성남시 분당구 서현동 297,경기도 성남시 분당구 돌마로486번길 12,국물
매운국물갈비찜,음식점>한식,경기도 성남시 분당구 정자동 133-4,경기도 성남시 분당구 내정로11번길 5,국물
두리부대찌개,"한식>찌개,전골",경기도 성남시 분당구 야탑동 289-2,경기도 성남시 분당구 장미로122번길 2,국물
대세신당동즉석쌀떡볶이&amp;양푼이매운갈비찜국물닭발,분식>떡볶이,경기도 성남시 분당구 정자동 135-3,경기도 성남시 분당구 불정로77번길 14,국물
라면국물편의점포차 서현역점,음식점>술집>포장마차,경기도 성남시 분당구 서현동 245-2,경기도 성남시 분당구 서현로210번길 1,국물
MAMA 국물떡볶이&amp;새우강정,분식>떡볶이,경기도 성남시 분당구 서현동 297,경기도 성남시 분당구 돌마로486번길 12,국물
매운국물갈비찜,음식점>한식,경기도 성남시 분당구 정자동 133-4,경기도 성남시 분당구 내정로11번길 5,국물
두리부대찌개,"한식>찌개,전골",경기도 성남시 분당구 야탑동 289-2,경기도 성남시 분당구 장미로122번길 2,국물
대세신당동즉석쌀떡볶이&amp;양푼이매운갈비찜국물닭발,분식>떡볶이,경기도 성남시 분당구 정자동 135-3,경기도 성남시 분당구 불정로77번길 14,국물
라면국물편의점포차 서현역점,음식점>술집>포장마차,경기도 성남시 분당구 서현동 245-2,경기도 성남시 분당구 서현로210번길 1,국물
MAMA 국물떡볶이&amp;새우강정,분식>떡볶이,경기도 성남시 분당구 서현동 297,경기도 성남시 분당구 돌마로486번길 12,국물
매운국물갈비찜,음식점>한식,경기도 성남시 분당구 정자동 133-4,경기도 성남시 분당구 내정로11번길 5,국물
두리부대찌개,"한식>찌개,전골",경기도 성남시 분당구 야탑동 289-2,경기도 성남시 분당구 장미로122번길 2,국물
대세신당동즉석쌀떡볶이&amp;양푼이매운갈비찜국물닭발,분식>떡볶이,경기도 성남시 분당구 정자동 135-3,경기도 성남시 분당구 불정로77번길 14,국물
라면국물편의점포차 서현역점,음식점>술집>포장마차,경기도 성남시 분당구 서현동 245-2,경기도 성남시 분당구 서현로210번길 1,국물
MAMA 국물떡볶이&amp;새우강정,분식>떡볶이,경기도 성남시 분당구 서현동 297,경기도 성남시 분당구 돌마로486번길 12,국물
매운국물갈비찜,음식점>한식,경기도 성남시 분당구 정자동 133-4,경기도 성남시 분당구 내정로11번길 5,국물
두리부대찌개,"한식>찌개,전골",경기도 성남시 분당구 야탑동 289-2,경기도 성남시 분당구 장미로122번길 2,국물
대세신당동즉석쌀떡볶이&amp;양푼이매운갈비찜국물닭발,분식>떡볶이,경기도 성남시 분당구 정자동 135-3,경기도 성남시 분당구 불정로77번길 14,국물
라면국물편의점포차 서현역점,음식점>술집>포장마차,경기도 성남시 분당구 서현동 245-2,경기도 성남시 분당구 서현로210번길 1,국물
MAMA 국물떡볶이&amp;새우강정,분식>떡볶이,경기도 성남시 분당구 서현동 297,경기도 성남시 분당구 돌마로486번길 12,국물
매운국물갈비찜,음식점>한식,경기도 성남시 분당구 정자동 133-4,경기도 성남시 분당구 내정로11번길 5,국물
두리부대찌개,"한식>찌개,전골",경기도 성남시 분당구 야탑동 289-2,경기도 성남시 분당구 장미로122번길 2,국물
대세신당동즉석쌀떡볶이&amp;양푼이매운갈비찜국물닭발,분식>떡볶이,경기도 성남시 분당구 정자동 135-3,경기도 성남시 분당구 불정로77번길 14,국물
라면국물편의점포차 서현역점,음식점>술집>포장마차,경기도 성남시 분당구 서현동 245-2,경기도 성남시 분당구 서현로210번길 1,국물
MAMA 국물떡볶이&amp;새우강정,분식>떡볶이,경기도 성남시 분당구 서현동 297,경기도 성남시 분당구 돌마로486번길 12,국물
매운국물갈비찜,음식점>한식,경기도 성남시 분당구 정자동 133-4,경기도 성남시 분당구 내정로11번길 5,국물
두리부대찌개,"한식>찌개,전골",경기도 성남시 분당구 야탑동 289-2,경기도 성남시 분당구 장미로122번길 2,국물
대세신당동즉석쌀떡볶이&amp;양푼이매운갈비찜국물닭발,분식>떡볶이,경기도 성남시 분당구 정자동 135-3,경기도 성남시 분당구 불정로77번길 14,국물
라면국물편의점포차 서현역점,음식점>술집>포장마차,경기도 성남시 분당구 서현동 245-2,경기도 성남시 분당구 서현로210번길 1,국물
MAMA 국물떡볶이&amp;새우강정,분식>떡볶이,경기도 성남시 분당구 서현동 297,경기도 성남시 분당구 돌마로486번길 12,국물
매운국물갈비찜,음식점>한식,경기도 성남시 분당구 정자동 133-4,경기도 성남시 분당구 내정로11번길 5,국물
두리부대찌개,"한식>찌개,전골",경기도 성남시 분당구 야탑동 289-2,경기도 성남시 분당구 장미로122번길 2,국물
